18:09:31: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 47] Logger initialized
18:09:31: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | __init__ | 104] Initialized
18:09:31: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:32: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:32: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:33: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:33: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:34: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:34: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:35: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:35: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:36: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:37: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 63] timeout
18:09:38: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 63] timeout
18:09:39: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 63] timeout
18:09:39: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:40: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:40: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:41: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:41: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:42: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:42: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:43: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:43: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:44: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 61] Recieved telemetry data
18:09:45: [INFO] [C:\Users\light\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 63] timeout
